name,split,episodes,successes,success_rate,avg_score,median_score,min_score,max_score,avg_team_reward,total_team_reward,chef_avg_reward,chef_total_reward,chef_avg_sequence_reward,chef_avg_format_reward,assistant_avg_reward,assistant_total_reward,assistant_avg_sequence_reward,assistant_avg_format_reward
dev,dev,10,7,0.7,14.0,20.0,0.0,20.0,1.0654470785098824,10.654470785098823,0.4537489507126759,4.537489507126759,0.7137489507126759,-0.26,0.6116981277972067,6.116981277972067,0.7316981277972067,-0.12000000000000002
overall,overall,100,90,0.9,18.0,20.0,0.0,20.0,1.3088991973405788,130.8899197340579,0.56383771386237,56.38377138623699,0.7478377138623701,-0.18400000000000002,0.7450614834782088,74.5061483478209,0.8390614834782089,-0.09400000000000003
test,test,20,20,1.0,20.0,20.0,20.0,20.0,1.3551081699819298,27.1021633996386,0.5879759823537236,11.759519647074473,0.7879759823537237,-0.2,0.7671321876282062,15.342643752564125,0.8071321876282063,-0.04
train,train,70,63,0.9,18.0,20.0,0.0,20.0,1.330475507847435,93.1332855493205,0.5726680318862253,40.086762232035774,0.7412394604576539,-0.1685714285714286,0.7578074759612099,53.04652331728469,0.8635217616754957,-0.10571428571428573
