name,split,episodes,successes,success_rate,avg_score,median_score,min_score,max_score,avg_team_reward,total_team_reward,chef_avg_reward,chef_total_reward,chef_avg_sequence_reward,chef_avg_format_reward,assistant_avg_reward,assistant_total_reward,assistant_avg_sequence_reward,assistant_avg_format_reward
baked_bell_pepper,test,10,10,1.0,20.0,20.0,20.0,20.0,1.5823255063452977,15.82325506345298,0.6336717291872564,6.336717291872565,0.8336717291872565,-0.2,0.9486537771580412,9.486537771580412,0.9486537771580412,0.0
baked_potato_slices,test,10,10,1.0,20.0,20.0,20.0,20.0,1.127890833618562,11.27890833618562,0.5422802355201907,5.422802355201907,0.7422802355201907,-0.2,0.5856105980983712,5.856105980983712,0.6656105980983712,-0.08
baked_pumpkin_slices,train,10,7,0.7,14.0,20.0,0.0,20.0,0.8210625039121215,8.210625039121217,0.32640326509520706,3.264032650952071,0.6064032650952071,-0.28,0.4946592388169145,4.946592388169146,0.6946592388169146,-0.20000000000000004
baked_sweet_potato,train,10,10,1.0,20.0,20.0,20.0,20.0,1.5538706477230184,15.538706477230185,0.5730421825079359,5.730421825079359,0.753042182507936,-0.18,0.9808284652150823,9.808284652150823,0.9808284652150823,0.0
boiled_corn_slices,dev,10,7,0.7,14.0,20.0,0.0,20.0,1.0654470785098824,10.654470785098823,0.4537489507126759,4.537489507126759,0.7137489507126759,-0.26,0.6116981277972067,6.116981277972067,0.7316981277972067,-0.12000000000000002
boiled_egg,train,10,9,0.9,18.0,20.0,0.0,20.0,1.617057705706142,16.170577057061422,0.6170577057061418,6.1705770570614185,0.7970577057061419,-0.18000000000000002,1.0,10.0,1.0,0.0
boiled_green_bean_slices,train,10,7,0.7,14.0,20.0,0.0,20.0,1.0315696645013808,10.315696645013809,0.5104807377382751,5.104807377382751,0.6304807377382751,-0.12000000000000002,0.5210889267631058,5.210889267631057,0.7010889267631057,-0.18000000000000002
boiled_mushroom,train,10,10,1.0,20.0,20.0,20.0,20.0,1.4099400824891597,14.0994008248916,0.5491116172740773,5.491116172740774,0.7891116172740774,-0.24000000000000005,0.8608284652150824,8.608284652150823,0.9808284652150823,-0.12000000000000002
boiled_potato_slices,train,10,10,1.0,20.0,20.0,20.0,20.0,1.2609257026830312,12.609257026830313,0.6145069321798292,6.1450693217982915,0.7945069321798293,-0.18000000000000002,0.6464187705032021,6.46418770503202,0.7064187705032021,-0.06000000000000001
boiled_sweet_potato,train,10,10,1.0,20.0,20.0,20.0,20.0,1.6189022479171924,16.189022479171925,0.8180737827021103,8.180737827021101,0.8180737827021103,0.0,0.8008284652150823,8.008284652150824,0.9808284652150823,-0.18000000000000002
