update_idx,step,num_transitions,agent0_n,agent1_n,agent0_rl_sum,agent0_rl_mean,agent0_format_sum,agent0_format_mean,agent0_validator_sum,agent0_validator_mean,agent0_sequence_sum,agent0_sequence_mean,agent0_comm_sum,agent0_comm_mean,agent0_breakdown_total_sum,agent0_breakdown_total_mean,agent0_legacy_process_sum,agent0_legacy_process_mean,agent1_rl_sum,agent1_rl_mean,agent1_format_sum,agent1_format_mean,agent1_validator_sum,agent1_validator_mean,agent1_sequence_sum,agent1_sequence_mean,agent1_comm_sum,agent1_comm_mean,agent1_breakdown_total_sum,agent1_breakdown_total_mean,agent1_legacy_process_sum,agent1_legacy_process_mean
1,92,92,42,50,-32.0,-0.7619047619047619,-4.0,-0.09523809523809523,-28.0,-0.6666666666666666,0.0,0.0,0.0,0.0,-32.0,-0.7619047619047619,-32.0,-0.7619047619047619,-5.378122308354866,-0.10756244616709733,-4.0,-0.08,-5.0,-0.1,3.6218776916451336,0.07243755383290268,0.0,0.0,-5.378122308354866,-0.10756244616709733,-5.378122308354866,-0.10756244616709733
1,107,107,51,56,-26.431141955627837,-0.5182576854044674,0.0,0.0,-28.0,-0.5490196078431373,1.568858044372162,0.030761922438669844,0.0,0.0,-26.431141955627837,-0.5182576854044674,-26.431141955627837,-0.5182576854044674,-12.844530577088717,-0.22936661744801282,-9.0,-0.16071428571428573,-5.0,-0.08928571428571429,1.1554694229112834,0.020633382551987205,0.0,0.0,-12.844530577088717,-0.22936661744801282,-12.844530577088717,-0.22936661744801282
1,100,100,47,53,-33.25346300603021,-0.7075204894900045,-3.0,-0.06382978723404255,-31.5,-0.6702127659574468,1.24653699396979,0.026522063701484893,0.0,0.0,-33.25346300603021,-0.7075204894900045,-33.25346300603021,-0.7075204894900045,-11.689061154177434,-0.22054832366372518,-4.0,-0.07547169811320754,-9.0,-0.16981132075471697,1.3109388458225668,0.024734695204199374,0.0,0.0,-11.689061154177434,-0.22054832366372518,-11.689061154177434,-0.22054832366372518
1,100,100,48,52,-32.855357899195255,-0.6844866228999011,-6.0,-0.125,-27.5,-0.5729166666666666,0.6446421008047437,0.013430043766765494,0.0,0.0,-32.855357899195255,-0.6844866228999011,-32.855357899195255,-0.6844866228999011,-8.033591731266151,-0.15449214867819522,-7.0,-0.1346153846153846,-3.0,-0.057692307692307696,1.9664082687338502,0.03781554362949712,0.0,0.0,-8.033591731266151,-0.15449214867819522,-8.033591731266151,-0.15449214867819522
1,114,114,55,59,-30.177678949597627,-0.5486850718108659,-4.0,-0.07272727272727272,-26.5,-0.4818181818181818,0.32232105040237186,0.005860382734588579,0.0,0.0,-30.177678949597627,-0.5486850718108659,-30.177678949597627,-0.5486850718108659,-8.033591731266151,-0.13616257171637544,-5.0,-0.0847457627118644,-5.0,-0.0847457627118644,1.9664082687338502,0.03332895370735339,0.0,0.0,-8.033591731266151,-0.13616257171637544,-8.033591731266151,-0.13616257171637544
1,131,131,62,69,-35.0,-0.5645161290322581,-10.0,-0.16129032258064516,-25.0,-0.4032258064516129,0.0,0.0,0.0,0.0,-35.0,-0.5645161290322581,-35.0,-0.5645161290322581,-11.378122308354866,-0.1649003233094908,-8.0,-0.11594202898550725,-6.0,-0.08695652173913043,2.6218776916451336,0.037998227415146864,0.0,0.0,-11.378122308354866,-0.1649003233094908,-11.378122308354866,-0.1649003233094908
1,109,109,50,59,-31.177678949597627,-0.6235535789919525,-6.0,-0.12,-25.5,-0.51,0.32232105040237186,0.006446421008047437,0.0,0.0,-31.177678949597627,-0.6235535789919525,-31.177678949597627,-0.6235535789919525,-10.03359173126615,-0.17006087680112117,-6.0,-0.1016949152542373,-6.0,-0.1016949152542373,1.9664082687338502,0.03332895370735339,0.0,0.0,-10.03359173126615,-0.17006087680112117,-10.03359173126615,-0.17006087680112117
1,114,114,54,60,-31.5,-0.5833333333333334,-6.0,-0.1111111111111111,-25.5,-0.4722222222222222,0.0,0.0,0.0,0.0,-31.5,-0.5833333333333334,-31.5,-0.5833333333333334,-12.844530577088717,-0.21407550961814528,-8.0,-0.13333333333333333,-6.0,-0.1,1.1554694229112834,0.01925782371518806,0.0,0.0,-12.844530577088717,-0.21407550961814528,-12.844530577088717,-0.21407550961814528
1,97,97,45,52,-33.5,-0.7444444444444445,-7.0,-0.15555555555555556,-26.5,-0.5888888888888889,0.0,0.0,0.0,0.0,-33.5,-0.7444444444444445,-33.5,-0.7444444444444445,-8.189061154177434,-0.15748194527264298,-3.0,-0.057692307692307696,-6.5,-0.125,1.3109388458225668,0.025210362419664747,0.0,0.0,-8.189061154177434,-0.15748194527264298,-8.189061154177434,-0.15748194527264298
1,114,114,54,60,-35.898105106834954,-0.6647797242006473,-10.0,-0.18518518518518517,-26.5,-0.49074074074074076,0.6018948931650463,0.011146201725278635,0.0,0.0,-35.898105106834954,-0.6647797242006473,-35.898105106834954,-0.6647797242006473,-10.189061154177434,-0.16981768590295723,-8.0,-0.13333333333333333,-3.5,-0.058333333333333334,1.3109388458225668,0.021848980763709447,0.0,0.0,-10.189061154177434,-0.16981768590295723,-10.189061154177434,-0.16981768590295723
